authorName,authorID,firstname,surname
Manudeep Bhuller,10619,Manudeep,Bhuller
Magne Mogstad,10675,Magne,Mogstad
Kjell G. Salvanes,10621,Kjell,Salvanes
Raquel Fernández,10622,Raquel,Fernández
Joyce Cheng Wong,10623,Joyce,Wong
Michael B. Devereux,10624,Michael,Devereux
James Yetman,10625,James,Yetman
Laurent Bouton,10626,Laurent,Bouton
Paola Conconi,10627,Paola,Conconi
Francisco Pino,10628,Francisco,Pino
Maurizio Zanardi,10629,Maurizio,Zanardi
Efraim Benmelech,10630,Efraim,Benmelech
Nittai Bergman,10631,Nittai,Bergman
Anna Milanez,10632,Anna,Milanez
Vladimir Mukharlyamov,10633,Vladimir,Mukharlyamov
Tri Vi Dang,10634,Tri,Dang
Gary Gorton,10635,Gary,Gorton
Bengt Holmström,10636,Bengt,Holmström
Guillermo Ordonez,10637,Guillermo,Ordonez
Marianne Bertrand,10638,Marianne,Bertrand
Sandra E. Black,10639,Sandra,Black
Sissel Jensen,10640,Sissel,Jensen
Xavier D'Haultfoeuille,10642,Xavier,D'Haultfoeuille
Yichong Zhang,10644,Yichong,Zhang
Stephen Chaudoin,10645,Stephen,Chaudoin
Zachary Peskowitz,10646,Zachary,Peskowitz
Christopher Stanton,10647,Christopher,Stanton
Arun G. Chandrasekhar,10772,Arun,Chandrasekhar
Cynthia Kinnan,10649,Cynthia,Kinnan
Horacio Larreguy,10773,Horacio,Larreguy
Jennifer Muz,10651,Jennifer,Muz
Santosh Anagol,10652,Santosh,Anagol
Thomas Fujiwara,10653,Thomas,Fujiwara
Kate Ambler,10654,Kate,Ambler
S. Borağan Aruoba,10657,S.,Aruoba
Jesús Fernández-Villaverde,10658,Jesús,Fernández-Villaverde
Ashish Arora,10659,Ashish,Arora
Wesley M. Cohen,10660,Wesley,Cohen
John P. Walsh,10661,John,Walsh
Stefan Nagel,10662,Stefan,Nagel
Mark Jacobsen,10663,Mark,Jacobsen
Jacob LaRiviere,10664,Jacob,LaRiviere
Michael Price,10905,Michael,Price
Barry Eichengreen,10666,Barry,Eichengreen
Arnaud J. Mehl,10667,Arnaud,Mehl
Livia Chițu,10668,Livia,Chițu
Gary Richardson,10669,Gary,Richardson
Bruce I. Carlin,10670,Bruce,Carlin
Li Jiang,10671,Li,Jiang
Stephen A. Spiller,10672,Stephen,Spiller
Mark Schankerman,10673,Mark,Schankerman
Lasse Eika,10674,Lasse,Eika
Basit Zafar,10676,Basit,Zafar
Seema Jayachandran,10677,Seema,Jayachandran
Kory Kroft,10678,Kory,Kroft
Fabian Lange,10679,Fabian,Lange
Matthew J. Notowidigdo,10680,Matthew,Notowidigdo
Lawrence F. Katz,10681,Lawrence,Katz
René M. Stulz,10682,René,Stulz
Weerachart T. Kilenthong,10683,Weerachart,Kilenthong
Robert M. Townsend,10684,Robert,Townsend
Matthew O. Jackson,10912,Matthew,Jackson
Mark Aguiar,10686,Mark,Aguiar
Manuel Amador,10687,Manuel,Amador
Gita Gopinath,10689,Gita,Gopinath
Asli Demirgüç-Kunt,10690,Asli,Demirgüç-Kunt
Edward J. Kane,10691,Edward,Kane
Luc Laeven,10692,Luc,Laeven
Brian Beach,10693,Brian,Beach
Joseph Ferrie,10694,Joseph,Ferrie
Martin Saavedra,10695,Martin,Saavedra
Werner Troesken,10696,Werner,Troesken
Soren T. Anderson,10697,Soren,Anderson
Ryan Kellogg,10698,Ryan,Kellogg
Stephen W. Salant,10699,Stephen,Salant
Scott Cunningham,10700,Scott,Cunningham
Manisha Shah,10701,Manisha,Shah
Qingyi Freda Drechsler,10702,Qingyi,Drechsler
Derek Neal,10703,Derek,Neal
Armin Rick,10704,Armin,Rick
Alejandro J. Ganimian,10705,Alejandro,Ganimian
